Studi-Go プラン比較表,,,,
,Free,Light,Standard,Pro
月額料金,¥0,"¥2,980","¥5,980","¥12,800"
予約手数料,5%,0%,0%,0%
ルーム上限,1室,5室,15室,無制限
拠点上限,1拠点,1拠点,2拠点,無制限
Studi-Goロゴ,表示,非表示,非表示,非表示
,,,,
予約管理,✓,✓,✓,✓
顧客管理,✓,✓,✓,✓
メール通知,✓,✓,✓,✓
クーポン,✓,—,✓,✓
CSV出力,—,✓,✓,✓
売上レポート,—,✓,✓,✓
スタッフ管理,—,✓,✓,✓
ページデザイン,—,✓,✓,✓
KPIダッシュボード,—,✓,✓,✓
自動リマインドメール,—,—,✓,✓
ヒートマップ分析,—,—,✓,✓
トップページ優先掲載,—,—,✓,✓
LINEログイン,—,—,—,✓
定期予約,—,—,—,✓
キャンセル待ち,—,—,—,✓
直前割引,—,—,—,✓
顧客ランク,—,—,—,✓
請求書払い,—,—,—,✓
API連携,—,—,—,✓
優先サポート,—,—,—,✓
