Studi-Go 運営側（プラットフォーム管理）機能一覧,,,
カテゴリ,機能名,説明,備考
ダッシュボード,全体KPI表示,総売上・総予約数・登録スタジオ数・MRRを一覧表示,
,スタジオ別売上集計,スタジオごとの売上・入金状況を確認,
スタジオ管理,スタジオ一覧管理,全スタジオの一覧表示・検索・フィルター,
,スタジオ詳細管理,スタジオ情報の閲覧・編集・ステータス変更,
,プラン割り当て,スタジオにプランを割り当て・変更,
,トライアル期間設定,スタジオごとに試用期間を設定,
,公開/非公開切替,スタジオの公開ステータスを管理,
プラン管理,プラン定義・編集,Free/Light/Standard/Proの価格・機能・制限を設定,
,プランオプション管理,カスタムドメイン・導入支援等のオプション管理,
,機能ゲート設定,プラン別の機能制限（フィーチャーフラグ）を管理,
ユーザー管理,ユーザー一覧表示,全ユーザーの一覧・検索,
,ユーザー詳細確認,個別ユーザーの情報・予約履歴を確認,
,ユーザー一括インポート,CSVでユーザーデータを一括登録,
決済・経理,決済一覧管理,全決済の一覧表示・ステータス管理,
,入金消込（照合）,決済データと入金データの照合,
,元帳管理,会計用の元帳データ管理,
,未払い管理,未払い案件の一覧・催促管理,
マーケティング,クーポン作成・管理,プラットフォーム全体のクーポン発行・管理,
,キャンペーン管理,プラットフォーム全体の割引キャンペーン設定,
,広告管理,AdSense・カスタム広告・アフィリエイトの設定,
コミュニケーション,一括メール送信,全ユーザー・全スタジオへの一括メール配信,
,お問い合わせ管理,サポート問い合わせの受信・対応管理,
システム管理,プラットフォーム設定,システム全体の各種設定を管理,
,データバックアップ,Firestoreデータのバックアップ実行,
,データマイグレーション,既存データの形式変換・移行ツール,
自動処理（Cron）,未払いメンバー自動処理,毎朝8時に未払い割り勘メンバーを自動処理（通知/徴収/キャンセル）,
,割り勘タイムアウト処理,30分超過の未決済割り勘セッションを自動期限切れ処理,
