Studi-Go ユーザー側（お客様）機能一覧,,,,,,,
カテゴリ,機能名,説明,Free,Light,Standard,Pro,備考
アカウント,メール/パスワード登録・ログイン,メールアドレスとパスワードでアカウント作成・ログイン,✓,✓,✓,✓,
,LINEログイン,LINEアカウントでワンタップログイン,—,—,—,✓,店舗がPro契約の場合のみ
,パスワードリセット,メールでパスワード再設定リンクを受信,✓,✓,✓,✓,
,プロフィール編集,氏名・メール・電話番号・住所の変更,✓,✓,✓,✓,
スタジオ検索,スタジオ一覧表示,全スタジオを一覧で閲覧・検索,✓,✓,✓,✓,
,スタジオ詳細ページ,スタジオ情報・写真・地図・営業時間を確認,✓,✓,✓,✓,
,ルーム情報表示,各部屋の詳細（料金・機材・写真）を確認,✓,✓,✓,✓,
,地図表示（Googleマップ）,スタジオの所在地を地図で確認,✓,✓,✓,✓,
予約,リアルタイム空き確認,空き状況をリアルタイムで確認して予約,✓,✓,✓,✓,
,日付・時間帯選択,カレンダーと時間帯から希望枠を選択,✓,✓,✓,✓,
,利用時間選択,1時間単位で利用時間を設定,✓,✓,✓,✓,
,人数指定,利用人数を入力（個人練習は上限あり）,✓,✓,✓,✓,
,機材オプション追加,予約時にレンタル機材をオプション追加,✓,✓,✓,✓,
,個人練習予約,お得な個人練習プランで予約,✓,✓,✓,✓,スタジオ設定による
,予約変更,予約日時や人数の変更,✓,✓,✓,✓,
,予約キャンセル,予約のキャンセル申請,✓,✓,✓,✓,
,予約確認メール受信,予約完了時に確認メールを受信,✓,✓,✓,✓,
,予約リマインドメール,予約前日にリマインドメールを受信,—,—,✓,✓,店舗がStandard以上の場合
,定期予約,毎週同じ枠を自動予約（月額会員的利用）,—,—,—,✓,店舗がPro契約の場合のみ
,キャンセル待ち登録,満室時にキャンセル待ちに登録,—,—,—,✓,店舗がPro契約の場合のみ
決済,クレジットカード決済,Stripe経由の安全なカード決済,✓,✓,✓,✓,
,割り勘決済（リーダー）,予約時に「割り勘」を選択し、メンバーへ決済依頼,✓,✓,✓,✓,
,割り勘決済（メンバー）,共有リンクから自分の分を個別に決済,✓,✓,✓,✓,30分以内の有効期限
,割り勘 - 支払い方法選択,全員で分割 or 予約者が全額負担 を選択,✓,✓,✓,✓,
,クーポン適用,割引クーポンコードを入力して適用,✓,✓,✓,✓,
,ACTIVA割引,ACTIVAクーポン残高から割引適用,✓,✓,✓,✓,ACTIVA登録ユーザー対象
,学割適用,学生割引の適用（スタジオが設定している場合）,✓,✓,✓,✓,スタジオ設定による
,領収書閲覧,オンラインで領収書を確認,✓,✓,✓,✓,
,返金受取,キャンセル時の返金をカードに受取,✓,✓,✓,✓,
バンド管理,バンド作成,バンドを作成しリーダーとして管理,✓,✓,✓,✓,
,メンバー招待,招待リンクを発行してメンバーを追加,✓,✓,✓,✓,
,メンバー管理,バンドメンバーの追加・削除,✓,✓,✓,✓,
,招待リンクからの参加,招待リンクをクリックしてバンドに参加,✓,✓,✓,✓,
,バンド予約,バンド単位でスタジオを予約,✓,✓,✓,✓,
マイページ,予約一覧,今後の予約と過去の予約履歴を表示,✓,✓,✓,✓,
,予約詳細確認,予約内容・決済状況・機材オプションを確認,✓,✓,✓,✓,
,バンド一覧,所属バンドの一覧表示,✓,✓,✓,✓,
,マイスタジオ,自分が管理するスタジオの一覧,✓,✓,✓,✓,
その他,利用規約,サービス利用規約の閲覧,✓,✓,✓,✓,
,プライバシーポリシー,個人情報保護方針の閲覧,✓,✓,✓,✓,
,VOWCHAについて,VOWCHA連携サービスの説明ページ,✓,✓,✓,✓,
