Studi-Go 店舗側（スタジオオーナー）機能一覧,,,,,,,
カテゴリ,機能名,説明,Free,Light,Standard,Pro,備考
予約管理,リアルタイム予約カレンダー,カレンダー形式で予約状況を一覧表示。空き枠が一目でわかる,✓,✓,✓,✓,
,予約の手動作成・編集,管理画面から直接予約を作成・変更可能,✓,✓,✓,✓,
,予約キャンセル処理,予約のキャンセルと返金対応,✓,✓,✓,✓,
,ブロック枠設定,メンテナンスやイベント等で特定時間帯をブロック,✓,✓,✓,✓,
,個人練習の受付設定,個人練習の可否・最大人数・事前予約日数を設定,✓,✓,✓,✓,
,予約データCSVインポート,既存の予約データを一括で取り込み,✓,✓,✓,✓,
,予約データCSVエクスポート,予約データをCSV形式でダウンロード,—,✓,✓,✓,
,キャンセル待ち機能,満室時にキャンセル待ちリストを受付,—,—,—,✓,
,定期予約（月額会員）,毎週同じ曜日・時間帯の定期予約を設定,—,—,—,✓,
部屋・拠点管理,部屋管理,部屋の追加・編集・削除。画像・説明文の設定,✓,✓,✓,✓,Free:1室/Light:5室/Std:15室/Pro:無制限
,複数拠点管理,複数のスタジオ拠点を一元管理,—,—,✓,✓,Standard:2拠点/Pro:無制限
,部屋別料金設定,部屋ごとにバンド・個人・時間帯別料金を設定,✓,✓,✓,✓,
,営業時間設定,平日・土曜・日祝の営業時間を個別設定,✓,✓,✓,✓,
,開始時間設定,予約の開始時間を0分始まり/30分始まりで切替,✓,✓,✓,✓,
決済・売上,Stripe連携決済,クレジットカード決済をオンラインで自動処理,✓,✓,✓,✓,Freeは予約手数料5%
,割り勘決済,バンド練習の料金をメンバー間で分割決済,✓,✓,✓,✓,
,未払い自動処理,当日未払いメンバーへの自動対応（通知/強制徴収/キャンセル）,✓,✓,✓,✓,スタジオ側で選択可能
,売上レポート,日次・月次の売上を自動集計。グラフ表示,—,✓,✓,✓,
,予実管理,月間の売上目標と実績を比較管理,—,✓,✓,✓,
,領収書・請求書発行,予約ごとの領収書・請求書をオンラインで発行,✓,✓,✓,✓,
,請求書払い対応,法人向け請求書払いに対応,—,—,—,✓,
,決済データCSV出力,決済履歴をCSV形式でダウンロード,—,✓,✓,✓,
顧客管理,顧客一覧管理,全顧客の情報を一覧表示・検索,✓,✓,✓,✓,
,予約履歴閲覧,顧客ごとの予約履歴・利用実績を確認,✓,✓,✓,✓,
,顧客データCSVインポート,既存の顧客データを一括取り込み,✓,✓,✓,✓,
,顧客データCSVエクスポート,顧客データをCSV形式でダウンロード,—,✓,✓,✓,
,ブラックリスト管理,問題のあるユーザーをブロック（理由記録付き）,✓,✓,✓,✓,
,顧客ランク機能,利用頻度に応じた顧客ランク付け,—,—,—,✓,
マーケティング,クーポン発行,割引率・金額・期間・利用回数を指定してクーポンを作成,✓,—,✓,✓,Freeは一部制限あり
,キャンペーン管理,期間限定の割引キャンペーンを設定・管理,✓,—,✓,✓,
,学割設定,学生向け割引を設定（金額/割合を指定）,✓,✓,✓,✓,
,その他割引設定,各種カスタム割引を作成・管理,✓,✓,✓,✓,
,VOWCHA連携,ACTIVAの無料クーポン・ポイントシステムと連携,✓,✓,✓,✓,ACTIVA加盟が必要
,直前割引（フラッシュディスカウント）,空き枠の直前割引を自動設定,—,—,—,✓,
,トップページ優先掲載,スタジオ検索結果の上位に表示,—,—,✓,✓,
機材管理,機材オプション設定,貸出機材の種類・料金・数量を管理,✓,✓,✓,✓,
,機材ステータス管理,機材の状態（利用可能/メンテ中/故障）を管理,✓,✓,✓,✓,
,機材貸出記録,機材の貸出履歴を日付・目的とともに記録,✓,✓,✓,✓,
スタッフ管理,スタッフアカウント作成,スタッフ用アカウントの追加・編集・削除,—,✓,✓,✓,
,権限設定（管理者/スタッフ）,スタッフの操作権限をロール別に設定,—,✓,✓,✓,
,パスワード管理,スタッフのパスワード変更・リセット,—,✓,✓,✓,
通知・メール,予約確認メール自動送信,予約完了時にお客様へ確認メールを自動送信,✓,✓,✓,✓,
,キャンセル通知メール,キャンセル発生時に関係者へ通知,✓,✓,✓,✓,
,未払いリマインドメール,未払いのお客様へリマインドメールを送信,✓,✓,✓,✓,
,自動リマインドメール,予約日前日に自動でリマインドメールを送信,—,—,✓,✓,
,メールテンプレート設定,メール通知の文面をカスタマイズ,✓,✓,✓,✓,
ブランディング・デザイン,予約ページデザイン,ロゴ・背景色・背景画像のカスタマイズ,—,✓,✓,✓,
,アピールポイント設定,スタジオの特徴・PRテキストの設定,—,✓,✓,✓,
,Studi-Goロゴ非表示,予約ページからStudi-Goロゴを非表示に,—,✓,✓,✓,Freeはロゴ表示必須
分析,ヒートマップ分析,時間帯×曜日の予約密度を可視化,—,—,✓,✓,
,KPIダッシュボード,売上・予約件数・稼働率を一覧表示,—,✓,✓,✓,
外部連携,API連携,外部システムとのAPI連携,—,—,—,✓,
,LINEログイン連携,お客様がLINEアカウントでログイン可能に,—,—,—,✓,
サポート,通常サポート,メールベースのサポート対応,✓,✓,✓,✓,
,優先サポート,優先対応・専任担当者によるサポート,—,—,—,✓,
,導入支援,スタジオ設定の初期セットアップ支援,"別途¥12,000","別途¥12,000","別途¥12,000","別途¥12,000",オプション
